Rk,School,City State,Start,End,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
18,austin-peay,Clarksville Tennessee,1964,2022,59,1696,850,846,0.501,-5.55,-3.47,1,8,5,7,0,0
19,ball-state,Muncie Indiana,1972,2022,51,1497,792,705,0.529,-1,-0.77,1,10,7,7,0,0
20,baylor,Waco Texas,1907,2022,116,2818,1432,1386,0.508,2.23,2.74,9,7,0,14,3,1
21,bellarmine,Louisville Kentucky,2021,2022,2,55,34,21,0.618,-2.76,-3.42,0,0,1,0,0,0
22,belmont,Nashville Tennessee,2000,2022,23,731,492,239,0.673,1.54,-3.65,0,13,8,8,0,0
23,bethune-cookman,Daytona Beach Florida,1981,2022,41,1215,442,773,0.364,-16.6,-9.88,0,2,0,0,0,0
24,binghamton,Binghamton New York,2002,2022,21,621,221,400,0.356,-11.22,-5.53,0,1,1,1,0,0
25,boise-state,Boise Idaho,1972,2022,51,1508,849,659,0.563,0.67,-0.43,1,7,6,8,0,0
26,boston-college,Chestnut Hill Massachusetts,1946,2022,77,2167,1173,994,0.541,3.13,3.28,8,6,2,18,0,0
27,boston-university,Boston Massachusetts,1916,2022,96,2218,1142,1076,0.515,-6.68,-5.4,0,8,7,7,0,0
28,bowling-green-state,Bowling Green Ohio,1916,2022,107,2660,1435,1225,0.539,-0.54,0,2,9,0,4,0,0
29,bradley,Peoria Illinois,1903,2022,118,2964,1721,1243,0.581,4.67,2.93,12,7,4,9,2,0
30,brigham-young,Provo Utah,1903,2022,120,3018,1897,1121,0.629,7.84,3.67,12,25,3,30,0,0
31,brown,Providence Rhode Island,1901,2022,116,2630,1073,1557,0.408,-10.74,-4.52,0,1,0,2,0,0
32,bryant,Smithfield Rhode Island,2011,2022,12,364,149,215,0.409,-9.88,-5.71,0,1,1,1,0,0
33,bucknell,Lewisburg Pennsylvania,1896,2022,127,2756,1477,1279,0.536,-8.31,-6.81,0,18,8,8,0,0
34,buffalo,Buffalo New York,1992,2022,53,1292,668,624,0.517,-4.42,-2.33,1,5,4,4,0,0
35,butler,Indianapolis Indiana,1897,2022,124,2831,1643,1188,0.58,1.95,3.32,8,13,7,16,2,0
36,cal-poly,San Luis Obispo California,1995,2022,28,817,314,503,0.384,-7.17,-1.82,0,1,1,1,0,0
37,cal-state-bakersfield,Bakersfield California,2011,2022,12,371,181,190,0.488,-4.75,-3.02,0,1,1,1,0,0
38,cal-state-fullerton,Fullerton California,1975,2022,48,1392,662,730,0.476,-1.99,-0.4,0,2,4,4,0,0
39,cal-state-northridge,Northridge California,1991,2022,32,949,400,549,0.421,-5.69,-1.85,0,3,2,2,0,0
40,california-baptist,Riverside California,2019,2022,4,119,68,51,0.571,-3.67,-4.79,0,0,0,0,0,0
41,california,Berkeley California,1908,2022,113,2896,1656,1240,0.572,7.02,6.13,5,14,0,19,3,1
42,campbell,Buies Creek North Carolina,1978,2022,45,1300,551,749,0.424,-12.29,-7.1,0,2,1,1,0,0
43,canisius,Buffalo New York,1904,2022,118,2651,1337,1314,0.504,-3.82,-1.79,1,8,1,4,0,0
44,central-arkansas,Conway Arkansas,2011,2022,12,360,109,251,0.303,-14.31,-4.63,0,0,0,0,0,0
45,central-connecticut-state,New Britain Connecticut,1987,2022,36,1045,408,637,0.39,-12.93,-7.59,0,3,3,3,0,0
46,central-florida,Orlando Florida,1985,2022,38,1132,572,560,0.505,-3.48,-2.13,0,1,4,5,0,0
47,central-michigan,Mount Pleasant Michigan,1974,2022,49,1410,616,794,0.437,-4.18,-0.49,0,8,2,4,0,0
48,charleston-southern,Charleston South Carolina,1975,2022,48,1375,559,816,0.407,-13.37,-7.12,0,4,4,1,0,0
49,charlotte,Charlotte North Carolina,1973,2022,50,1484,809,675,0.545,3.14,1.92,2,6,5,11,1,0
50,chattanooga,Chattanooga Tennessee,1978,2022,45,1386,840,546,0.606,-2.27,-3.54,1,20,12,12,0,0
51,chicago-state,Chicago Illinois,1985,2022,38,1093,280,813,0.256,-15.82,-2.14,0,0,1,0,0,0
52,cincinnati,Cincinnati Ohio,1902,2022,121,2917,1865,1052,0.639,11.53,5.06,25,25,12,33,6,2
53,clemson,Clemson South Carolina,1912,2022,111,2724,1380,1342,0.507,5.57,4.33,6,1,1,13,0,0
54,cleveland-state,Cleveland Ohio,1973,2022,50,1469,732,737,0.498,-3.47,-1.73,0,6,3,3,0,0
55,coastal-carolina,Conway South Carolina,1987,2022,36,1083,557,526,0.514,-7.74,-6.17,0,7,5,4,0,0
56,colgate,Hamilton New York,1901,2022,122,2768,1343,1425,0.485,-10.46,-5.66,0,6,5,5,0,0
57,college-of-charleston,Charleston South Carolina,1992,2022,31,959,652,307,0.68,0.89,-4.03,2,13,4,5,0,0
58,colorado,Boulder Colorado,1902,2022,119,2626,1383,1243,0.527,5.35,5.99,6,19,1,15,2,0
59,colorado-state,Fort Collins Colorado,1902,2022,118,2629,1331,1298,0.506,2.92,2.4,1,6,1,11,0,0
60,columbia,New York New York,1901,2022,122,2674,1312,1362,0.491,-7.81,-5.15,2,13,0,3,0,0
61,connecticut,Storrs Connecticut,1901,2022,116,2700,1713,987,0.634,6.68,1.17,17,27,8,34,5,4
62,coppin-state,Baltimore Maryland,1986,2022,37,1117,506,611,0.453,-10.93,-8.07,0,11,4,4,0,0
63,cornell,Ithaca New York,1899,2022,124,2756,1284,1472,0.466,-7.73,-4.48,0,8,0,5,0,0
64,creighton,Omaha Nebraska,1912,2022,102,2679,1631,1048,0.609,4.04,3.51,6,16,12,23,0,0
65,dartmouth,Hanover New Hampshire,1900,2022,122,2886,1328,1556,0.46,-10.73,-5.09,0,12,0,7,2,0
66,davidson,Davidson North Carolina,1909,2022,113,2765,1517,1248,0.549,-2.61,-2.8,6,25,13,15,0,0
67,dayton,Dayton Ohio,1904,2022,117,2853,1712,1141,0.6,7.02,3.2,8,6,2,18,1,0
68,delaware,Newark Delaware,1906,2022,81,1972,982,989,0.498,-8.33,-5.89,0,4,6,6,0,0
69,delaware-state,Dover Delaware,1974,2022,49,1407,541,866,0.385,-16.91,-10.12,0,3,1,1,0,0
70,denver,Denver Colorado,1999,2022,99,2158,961,1197,0.445,-4.13,-0.79,0,4,0,0,0,0
71,depaul,Chicago Illinois,1924,2022,99,2573,1503,1070,0.584,6.14,5.95,12,2,0,22,2,0
72,detroit-mercy,Detroit Michigan,1910,2022,113,2732,1450,1282,0.531,-0.04,0.91,2,2,3,6,0,0
73,dixie-state,St. George Utah,2021,2022,2,52,21,31,0.404,-11.27,-1.98,0,0,0,0,0,0
74,drake,Des Moines Iowa,1907,2022,116,2824,1314,1510,0.465,1.18,2.9,5,9,1,5,1,0
75,drexel,Philadelphia Pennsylvania,1895,2022,52,1436,785,651,0.547,-3.43,-4.42,0,7,5,5,0,0
76,duke,Durham North Carolina,1906,2022,117,3156,2246,910,0.712,16.26,6.71,50,23,26,44,17,5
77,duquesne,Pittsburgh Pennsylvania,1914,2022,106,2604,1438,1166,0.552,1.96,2.01,7,2,1,5,1,0
78,east-carolina,Greenville North Carolina,1967,2022,56,1593,698,895,0.438,-4.58,-1.01,0,0,2,2,0,0
79,east-tennessee-state,Johnson City Tennessee,1959,2022,64,1833,1005,828,0.548,-3.96,-3.37,1,11,10,10,0,0
80,eastern-illinois,Charleston Illinois,1982,2022,41,1205,543,662,0.451,-7.81,-4.39,0,0,3,2,0,0
81,eastern-kentucky,Richmond Kentucky,1948,2022,72,1946,957,989,0.492,-4.73,-2.77,0,7,5,8,0,0
82,eastern-michigan,Ypsilanti Michigan,1933,2022,50,1469,691,778,0.47,-3.38,-0.33,0,5,4,4,0,0
83,eastern-washington,Cheney Washington,1984,2022,39,1141,506,635,0.443,-5.89,-2.32,0,4,3,3,0,0
84,elon,Elon North Carolina,2000,2022,23,702,298,404,0.425,-8.2,-3.5,0,2,0,0,0,0
85,evansville,Evansville Indiana,1925,2022,49,1392,731,661,0.525,0.85,1,0,6,4,5,0,0
86,fairfield,Fairfield Connecticut,1965,2022,58,1665,804,861,0.483,-4.52,-3.03,0,3,3,3,0,0
87,fairleigh-dickinson,Teaneck New Jersey,1968,2022,55,1544,730,814,0.473,-10.13,-6.93,0,6,6,6,0,0
88,florida-am,Tallahassee Florida,1980,2022,43,1262,487,775,0.386,-15.64,-8.98,0,0,4,3,0,0
89,florida-atlantic,Boca Raton Florida,1994,2022,29,861,329,532,0.382,-8.45,-3.34,0,1,1,1,0,0
90,florida,Gainesville Florida,1921,2022,101,2638,1486,1151,0.564,8.05,5.06,15,9,4,23,5,2
91,florida-gulf-coast,Fort Myers Florida,2011,2022,12,387,221,166,0.571,-3.18,-4.01,0,3,3,3,0,0
92,florida-international,Miami Florida,1988,2022,35,1042,422,620,0.405,-8.08,-3.28,0,1,1,1,0,0
93,florida-state,Tallahassee Florida,1957,2022,66,1948,1163,785,0.597,7.68,5.04,12,3,2,18,1,0
94,fordham,Bronx New York,1903,2022,118,2981,1545,1436,0.518,-2.83,-0.21,1,4,3,4,0,0
95,fresno-state,Fresno California,1956,2022,55,1659,932,727,0.562,2.52,1.71,1,6,5,6,0,0
96,furman,Greenville South Carolina,1920,2022,101,2581,1305,1276,0.506,-5.82,-4.08,0,6,6,6,0,0
97,gardner-webb,Boiling Springs North Carolina,2003,2022,20,626,295,331,0.471,-7.58,-4.76,0,1,1,1,0,0
98,george-mason,Fairfax Virginia,1979,2022,44,1321,708,613,0.536,-1.12,-1.43,0,4,4,6,1,0
99,george-washington,Washington D.C.,1913,2022,105,2579,1378,1201,0.534,0.12,-0.1,3,7,5,11,0,0
100,georgetown,Washington D.C.,1907,2022,114,2814,1706,1108,0.606,6.77,4.03,20,11,8,31,5,1
101,georgia,Athens Georgia,1906,2022,117,2826,1459,1367,0.516,3.9,4.98,5,3,3,12,1,0
102,georgia-southern,Statesboro Georgia,1972,2022,51,1487,760,727,0.511,-6.68,-4.95,0,7,3,3,0,0
103,georgia-state,Atlanta Georgia,1974,2022,49,1430,646,784,0.452,-6.95,-3.78,0,8,6,6,0,0
104,georgia-tech,Atlanta Georgia,1920,2022,103,2684,1412,1272,0.526,5.64,5.21,8,3,5,17,2,0
105,gonzaga,Spokane Washington,1944,2022,71,2102,1395,707,0.664,3.93,-0.11,15,27,20,24,2,0
106,grambling,Grambling Louisiana,1978,2022,45,1284,485,799,0.378,-17.23,-9.35,0,3,0,0,0,0
107,grand-canyon,Phoenix Arizona,2014,2022,9,280,176,104,0.629,0.05,-3.9,0,1,1,1,0,0
108,green-bay,Green Bay Wisconsin,1982,2022,41,1247,669,578,0.536,-1.06,-1.35,0,4,4,5,0,0
109,hampton,Hampton Virginia,1996,2022,27,829,426,403,0.514,-9.28,-8.73,0,4,6,6,0,0
110,hartford,West Hartford Connecticut,1985,2022,38,1127,481,646,0.427,-8.88,-5.45,0,0,1,1,0,0
111,harvard,Boston Massachusetts,1901,2022,111,2538,1187,1351,0.468,-8.11,-4.88,0,7,0,5,0,0
112,hawaii,Honolulu Hawaii,1971,2022,52,1518,803,715,0.529,1.85,1.67,1,3,4,5,0,0
113,high-point,High Point North Carolina,2000,2022,23,695,327,368,0.471,-9.22,-6.16,0,4,0,0,0,0
114,hofstra,Hempstead New York,1943,2022,57,1652,861,791,0.521,-5.73,-4.33,0,9,6,4,0,0
115,holy-cross,Worcester Massachusetts,1901,2022,102,2485,1429,1056,0.575,-2.3,-3.85,6,6,7,13,2,1
116,houston-baptist,Houston Texas,2011,2022,28,803,324,479,0.403,-11.84,-5.95,0,2,1,1,0,0
117,houston,Houston Texas,1951,2022,72,2140,1307,833,0.611,6.17,2.85,12,7,8,23,6,0
118,howard,Washington D.C.,1974,2022,49,1389,540,849,0.389,-15,-9.66,0,4,3,2,0,0
119,idaho-state,Pocatello Idaho,1959,2022,64,1771,773,998,0.436,-6.6,-2.72,0,4,2,5,0,0
120,idaho,Moscow Idaho,1906,2022,117,2932,1362,1568,0.465,-4.43,-1.18,1,7,4,4,0,0
121,illinois,Champaign Illinois,1906,2022,117,2897,1856,1041,0.641,13.01,7.77,29,18,3,32,5,0
122,illinois-state,Normal Illinois,1899,2022,63,1631,959,672,0.588,3.37,1.72,0,6,4,6,0,0
123,illinois-chicago,Chicago Illinois,1982,2022,41,1242,595,647,0.479,-3.2,-1.43,0,2,2,3,0,0
124,incarnate-word,San Antonio Texas,2014,2022,9,258,105,153,0.407,-13.79,-6.52,0,0,0,0,0,0
125,indiana,Bloomington Indiana,1901,2022,122,2980,1886,1094,0.633,13.88,8.16,28,22,0,40,8,5
126,indiana-state,Terre Haute Indiana,1900,2022,100,2255,1160,1095,0.514,-0.24,1.87,1,2,3,4,1,0
127,iona,New Rochelle New York,1954,2022,69,1900,1072,828,0.564,-3.96,-3.57,1,12,13,15,0,0
128,iowa,Iowa City Iowa,1893,2022,125,2925,1721,1203,0.589,11.45,7.42,21,8,3,28,3,0
129,iowa-state,Ames Iowa,1908,2022,115,2788,1410,1378,0.506,6.79,6.46,10,6,6,21,1,0
130,iupui,Indianapolis Indiana,1999,2022,24,733,329,404,0.449,-6.09,-2.89,0,1,1,1,0,0
131,jackson-state,Jackson Mississippi,1978,2022,45,1344,632,712,0.47,-11.12,-8.75,0,7,4,3,0,0
132,jacksonville,Jacksonville Florida,1967,2022,56,1617,796,821,0.492,-3.75,-2.22,2,2,2,5,1,0
