team,Season
illinois-st.-redbirds,2007-2008
illinois-st.-redbirds,2008-2009
illinois-st.-redbirds,2009-2010
illinois-st.-redbirds,2014-2015
illinois-st.-redbirds,2016-2017
indiana-hoosiers,2006-2007
indiana-hoosiers,2007-2008
indiana-hoosiers,2014-2015
indiana-hoosiers,2015-2016
indiana-hoosiers,2016-2017
indiana-st.-sycamores,2012-2013
indiana-st.-sycamores,2013-2014
iona-gaels,2010-2011
iona-gaels,2011-2012
iona-gaels,2013-2014
iona-gaels,2014-2015
iowa-hawkeyes,2012-2013
iowa-hawkeyes,2013-2014
iowa-hawkeyes,2014-2015
iowa-hawkeyes,2015-2016
iowa-hawkeyes,2018-2019
iowa-state-cyclones,2011-2012
iowa-state-cyclones,2012-2013
iowa-state-cyclones,2015-2016
purdue-fort-wayne-mastodons,2015-2016
iupui-jaguars,2007-2008
kansas-state-wildcats,2006-2007
kansas-state-wildcats,2007-2008
kansas-state-wildcats,2008-2009
kansas-state-wildcats,2010-2011
kansas-state-wildcats,2011-2012
kansas-state-wildcats,2013-2014
kansas-state-wildcats,2016-2017
kansas-state-wildcats,2017-2018
kent-st.-golden-flashes,2009-2010
kent-st.-golden-flashes,2010-2011
kentucky-wildcats,2007-2008
kentucky-wildcats,2008-2009
kentucky-wildcats,2012-2013
la-salle-explorers,2012-2013
lipscomb-bisons,2018-2019
long-beach-st.-beach,2015-2016
ul-lafayette-ragin-cajuns,2017-2018
louisiana-state-tigers,2008-2009
louisiana-state-tigers,2013-2014
louisiana-state-tigers,2014-2015
louisiana-tech-bulldogs,2009-2010
louisiana-tech-bulldogs,2012-2013
louisiana-tech-bulldogs,2013-2014
louisiana-tech-bulldogs,2014-2015
louisville-cardinals,2006-2007
louisville-cardinals,2009-2010
louisville-cardinals,2014-2015
louisville-cardinals,2017-2018
louisville-cardinals,2018-2019
marquette-golden-eagles,2006-2007
marquette-golden-eagles,2008-2009
marquette-golden-eagles,2009-2010
marquette-golden-eagles,2010-2011
marquette-golden-eagles,2016-2017
marquette-golden-eagles,2017-2018
marquette-golden-eagles,2018-2019
marshall-thundering-herd,2009-2010
marshall-thundering-herd,2010-2011
marshall-thundering-herd,2011-2012
maryland-terrapins,2008-2009
maryland-terrapins,2009-2010
maryland-terrapins,2012-2013
maryland-terrapins,2016-2017
maryland-terrapins,2017-2018
maryland-terrapins,2018-2019
massachusetts-minutemen,2006-2007
massachusetts-minutemen,2007-2008
massachusetts-minutemen,2011-2012
massachusetts-minutemen,2012-2013
massachusetts-minutemen,2013-2014
memphis-tigers,2009-2010
memphis-tigers,2013-2014
memphis-tigers,2018-2019
miami-hurricanes,2007-2008
miami-hurricanes,2008-2009
miami-hurricanes,2010-2011
miami-hurricanes,2011-2012
miami-hurricanes,2014-2015
miami-hurricanes,2016-2017
miami-hurricanes,2017-2018
miami-oh-redhawks,2007-2008
michigan-wolverines,2006-2007
michigan-wolverines,2008-2009
michigan-wolverines,2010-2011
michigan-wolverines,2014-2015
michigan-wolverines,2015-2016
michigan-st.-spartans,2006-2007
michigan-st.-spartans,2009-2010
michigan-st.-spartans,2010-2011
michigan-st.-spartans,2014-2015
michigan-st.-spartans,2016-2017
middle-tennessee-st.-blue-raiders,2011-2012
middle-tennessee-st.-blue-raiders,2012-2013
middle-tennessee-st.-blue-raiders,2013-2014
middle-tennessee-st.-blue-raiders,2017-2018
minnesota-golden-gophers,2008-2009
minnesota-golden-gophers,2009-2010
minnesota-golden-gophers,2012-2013
minnesota-golden-gophers,2013-2014
minnesota-golden-gophers,2016-2017
minnesota-golden-gophers,2018-2019
mississippi-rebels,2006-2007
mississippi-rebels,2007-2008
mississippi-rebels,2009-2010
mississippi-rebels,2011-2012
mississippi-rebels,2014-2015
mississippi-rebels,2016-2017
mississippi-rebels,2018-2019
mississippi-state-bulldogs,2006-2007
mississippi-state-bulldogs,2007-2008
mississippi-state-bulldogs,2009-2010
mississippi-state-bulldogs,2011-2012
mississippi-state-bulldogs,2017-2018
mississippi-state-bulldogs,2018-2019
missouri-tigers,2009-2010
missouri-tigers,2010-2011
missouri-tigers,2012-2013
missouri-tigers,2013-2014
missouri-tigers,2017-2018
missouri-st.-bears,2006-2007
missouri-st.-bears,2010-2011
monmouth-nj-hawks,2015-2016
monmouth-nj-hawks,2016-2017
murray-st.-racers,2014-2015
nebraska-cornhuskers,2008-2009
nebraska-cornhuskers,2013-2014
nebraska-cornhuskers,2017-2018
nevada-wolf-pack,2006-2007
nevada-wolf-pack,2007-2008
nevada-wolf-pack,2008-2009
nevada-wolf-pack,2009-2010
nevada-wolf-pack,2011-2012
unlv-rebels,2008-2009
unlv-rebels,2009-2010
unlv-rebels,2010-2011
unlv-rebels,2012-2013
new-mexico-lobos,2007-2008
new-mexico-lobos,2008-2009
new-mexico-lobos,2010-2011
niagara-purple-eagles,2008-2009
north-carolina-tar-heels,2013-2014
unc-asheville-bulldogs,2016-2017
unc-greensboro-spartans,2018-2019
nc-state-wolfpack,2011-2012
nc-state-wolfpack,2012-2013
nc-state-wolfpack,2013-2014
nc-state-wolfpack,2014-2015
nc-state-wolfpack,2017-2018
north-dakota-state-bison,2012-2013
northeastern-huskies,2009-2010
northeastern-huskies,2017-2018
northern-iowa-panthers,2011-2012
northwestern-wildcats,2008-2009
northwestern-wildcats,2011-2012
northwestern-wildcats,2016-2017
notre-dame-fighting-irish,2006-2007
notre-dame-fighting-irish,2007-2008
notre-dame-fighting-irish,2008-2009
notre-dame-fighting-irish,2009-2010
notre-dame-fighting-irish,2011-2012
