season_number,season,conf,win,loss,wpct,conf_win,conf_loss,conf_wpct,srs,sos,ppg,opp_ppg,ap_pre,ap_highest,ap_final,tournament_outcome,seed,coach,school
19,2004,Patriot,6,21,0.222,3,11,0.214,-22.76,-7.72,50.5,63.3,NA,NA,NA,NA,NA,Jim Crews (6-21),army
20,2003,Patriot,5,22,0.185,0,14,0,-19.72,-5.92,54.9,65.5,NA,NA,NA,NA,NA,Jim Crews (5-22),army
21,2002,Patriot,12,16,0.429,6,8,0.429,-13.02,-7.44,66.8,70.1,NA,NA,NA,NA,NA,Pat Harris (12-16),army
22,2001,Patriot,9,19,0.321,3,9,0.25,-15.73,-7.65,72,78.6,NA,NA,NA,NA,NA,Pat Harris (9-19),army
23,2000,Patriot,5,23,0.179,2,10,0.167,-19.89,-6.43,52.9,64.1,NA,NA,NA,NA,NA,Pat Harris (5-23),army
24,1999,Patriot,8,19,0.296,4,8,0.333,-22.46,-6.62,59.8,72.9,NA,NA,NA,NA,NA,Pat Harris (8-19),army
25,1998,Patriot,8,19,0.296,2,10,0.167,-20.38,-8.19,64.1,75.1,NA,NA,NA,NA,NA,Pat Harris (8-19),army
26,1997,Patriot,10,16,0.385,4,8,0.333,-16.8,-8.68,70,74.7,NA,NA,NA,NA,NA,Dino Gaudio (10-16),army
27,1996,Patriot,7,20,0.259,2,10,0.167,-21.66,-10.62,66.4,73.4,NA,NA,NA,NA,NA,Dino Gaudio (7-20),army
28,1995,Patriot,12,16,0.429,4,10,0.286,-17.85,-11.26,73.5,79.4,NA,NA,NA,NA,NA,Dino Gaudio (12-16),army
29,1994,Patriot,7,20,0.259,4,10,0.286,-17.49,-7.6,77.6,85.6,NA,NA,NA,NA,NA,Dino Gaudio (7-20),army
30,1993,Patriot,4,22,0.154,2,12,0.143,-19.98,-7.17,59.8,72.6,NA,NA,NA,NA,NA,"Mike Conners (1-7), Tom Miller (3-15)",army
31,1992,Patriot,4,24,0.143,2,12,0.143,-16.57,-5.22,53,64.4,NA,NA,NA,NA,NA,Tom Miller (4-24),army
32,1991,Patriot,6,22,0.214,3,9,0.25,-14.13,-5.42,62.1,70.8,NA,NA,NA,NA,NA,Tom Miller (6-22),army
1,2022,SEC,28,6,0.824,15,3,0.833,19.21,8.18,78.2,67.2,22,1,8,Lost Second Round,2,Bruce Pearl (28-6),auburn
2,2021,SEC,13,14,0.481,7,11,0.389,10.02,9.28,77.2,76.4,NA,NA,NA,NA,NA,Bruce Pearl (13-14),auburn
3,2020,SEC,25,6,0.806,12,6,0.667,15.04,7.39,78,70.4,24,4,20,NA,NA,Bruce Pearl (25-6),auburn
4,2019,SEC,30,10,0.75,11,7,0.611,20.84,10.92,79.7,68.8,11,7,14,Lost National Semifinal,5,Bruce Pearl (30-10),auburn
5,2018,SEC,26,8,0.765,13,5,0.722,15.97,7.29,81.9,73.2,NA,8,19,Lost Second Round,4,Bruce Pearl (26-8),auburn
6,2017,SEC,18,14,0.563,7,11,0.389,8.17,7.33,80.4,79.6,NA,NA,NA,NA,NA,Bruce Pearl (18-14),auburn
7,2016,SEC,11,20,0.355,5,13,0.278,0.15,7.54,70.7,78.1,NA,NA,NA,NA,NA,Bruce Pearl (11-20),auburn
8,2015,SEC,15,20,0.429,4,14,0.222,3.27,8.15,67.9,72.1,NA,NA,NA,NA,NA,Bruce Pearl (15-20),auburn
9,2014,SEC,14,16,0.467,6,12,0.333,5.11,5.47,71.5,71.8,NA,NA,NA,NA,NA,Tony Barbee (14-16),auburn
10,2013,SEC,9,23,0.281,3,15,0.167,0.23,4.2,64.8,68.8,NA,NA,NA,NA,NA,Tony Barbee (9-23),auburn
11,2012,SEC,15,16,0.484,5,11,0.313,2.52,3.84,62.6,64,NA,NA,NA,NA,NA,Tony Barbee (15-16),auburn
12,2011,SEC,11,20,0.355,4,12,0.25,-2.47,2.4,62.4,66.2,NA,NA,NA,NA,NA,Tony Barbee (11-20),auburn
13,2010,SEC,15,17,0.469,6,10,0.375,5.49,4.68,75.7,74.2,NA,NA,NA,NA,NA,Jeff Lebo (15-17),auburn
14,2009,SEC,24,12,0.667,10,6,0.625,9.93,3.56,72.8,65.4,NA,NA,NA,NA,NA,Jeff Lebo (24-12),auburn
15,2008,SEC,14,16,0.467,4,12,0.25,2.31,4.7,71.4,72.8,NA,NA,NA,NA,NA,Jeff Lebo (14-16),auburn
16,2007,SEC,17,15,0.531,7,9,0.438,6.77,7.47,73.1,72.1,NA,NA,NA,NA,NA,Jeff Lebo (17-15),auburn
17,2006,SEC,12,16,0.429,4,12,0.25,4.92,7.06,65.6,67.7,NA,NA,NA,NA,NA,Jeff Lebo (12-16),auburn
18,2005,SEC,14,17,0.452,4,12,0.25,2.06,6.61,70.7,75.2,NA,NA,NA,NA,NA,Jeff Lebo (14-17),auburn
19,2004,SEC,14,14,0.5,5,11,0.313,10.32,5.89,70,65.6,NA,NA,NA,NA,NA,Cliff Ellis (14-14),auburn
20,2003,SEC,22,12,0.647,8,8,0.5,12.68,8.35,70.8,65.7,NA,24,NA,Lost Regional Semifinal,10,Cliff Ellis (22-12),auburn
21,2002,SEC,12,16,0.429,4,12,0.25,6.89,7.97,65.5,66.6,NA,NA,NA,NA,NA,Cliff Ellis (12-16),auburn
22,2001,SEC,18,14,0.563,7,9,0.438,11.51,7.16,77.4,73.1,NA,NA,NA,NA,NA,Cliff Ellis (18-14),auburn
23,2000,SEC,24,10,0.706,9,7,0.563,13.59,8.2,71.3,64.4,4,2,24,Lost Second Round,7,Cliff Ellis (24-10),auburn
24,1999,SEC,29,4,0.879,14,2,0.875,24.6,5,81.2,61.6,NA,2,4,Lost Regional Semifinal,1,Cliff Ellis (29-4),auburn
25,1998,SEC,16,14,0.533,7,9,0.438,7.44,5.94,68.9,67.3,NA,NA,NA,NA,NA,Cliff Ellis (16-14),auburn
26,1997,SEC,16,15,0.516,6,10,0.375,5.42,5.42,66.3,65.1,NA,NA,NA,NA,NA,Cliff Ellis (16-15),auburn
27,1996,SEC,19,13,0.594,6,10,0.375,6.07,4.17,74.3,71.3,NA,21,NA,NA,NA,Cliff Ellis (19-13),auburn
28,1995,SEC,16,13,0.552,7,9,0.438,9.22,7.03,76.9,73.2,NA,NA,NA,NA,NA,Cliff Ellis (16-13),auburn
29,1994,SEC,11,17,0.393,3,13,0.188,8.05,7.27,81.7,80.9,NA,NA,NA,NA,NA,Tommy Joe Eagles (11-17),auburn
30,1993,SEC,15,12,0.556,8,8,0.5,8.92,6.96,80.4,76.2,NA,NA,NA,NA,NA,Tommy Joe Eagles (15-12),auburn
31,1992,SEC,12,15,0.444,5,11,0.313,7.83,9.46,86.6,85.2,NA,NA,NA,NA,NA,Tommy Joe Eagles (12-15),auburn
32,1991,SEC,13,16,0.448,5,13,0.278,4.86,8.93,75.3,79.4,NA,NA,NA,NA,NA,Tommy Joe Eagles (13-16),auburn
1,2022,OVC,12,17,0.414,8,10,0.444,-10.01,-3.39,64.7,69.1,NA,NA,NA,NA,NA,Nate James (12-17),austin-peay
2,2021,OVC,14,13,0.519,10,10,0.5,-6.66,-8.22,74.3,70,NA,NA,NA,NA,NA,Matt Figger (14-13),austin-peay
3,2020,OVC,21,12,0.636,14,4,0.778,-0.98,-4.14,76.3,71.5,NA,NA,NA,NA,NA,Matt Figger (21-12),austin-peay
4,2019,OVC,22,11,0.667,13,5,0.722,0.59,-4.41,82.2,73.1,NA,NA,NA,NA,NA,Matt Figger (22-11),austin-peay
5,2018,OVC,19,15,0.559,12,6,0.667,-3.28,-2.5,73.9,71.9,NA,NA,NA,NA,NA,Matt Figger (19-15),austin-peay
6,2017,OVC,11,19,0.367,7,9,0.438,-11,-2.32,77.7,83.8,NA,NA,NA,NA,NA,Dave Loos (11-19),austin-peay
7,2016,OVC,18,18,0.5,7,9,0.438,-6.04,-2.98,76.1,76.8,NA,NA,NA,Lost First Round,16,Dave Loos (18-18),austin-peay
8,2015,OVC,8,22,0.267,3,13,0.188,-12.45,-2.81,64.6,72.6,NA,NA,NA,NA,NA,Dave Loos (8-22),austin-peay
9,2014,OVC,12,18,0.4,6,10,0.375,-10.5,-5.78,76.2,78.9,NA,NA,NA,NA,NA,Dave Loos (12-18),austin-peay
10,2013,OVC,8,23,0.258,4,12,0.25,-12.31,-4.28,71.5,76.5,NA,NA,NA,NA,NA,Dave Loos (8-23),austin-peay
11,2012,OVC,12,20,0.375,8,8,0.5,-4.86,-0.66,69.3,72.6,NA,NA,NA,NA,NA,Dave Loos (12-20),austin-peay
12,2011,OVC,20,14,0.588,13,5,0.722,-0.15,-3.77,73.8,67,NA,NA,NA,NA,NA,Dave Loos (20-14),austin-peay
13,2010,OVC,17,15,0.531,11,7,0.611,-3.85,-1.68,72.5,72.4,NA,NA,NA,NA,NA,Dave Loos (17-15),austin-peay
14,2009,OVC,19,14,0.576,13,5,0.722,-4.2,-3.69,75.3,74.2,NA,NA,NA,NA,NA,Dave Loos (19-14),austin-peay
15,2008,OVC,24,11,0.686,16,4,0.8,-2.21,-5.24,74,70.8,NA,NA,NA,Lost First Round,15,Dave Loos (24-11),austin-peay
16,2007,OVC,21,12,0.636,16,4,0.8,-3.45,-5.09,70,67,NA,NA,NA,NA,NA,Dave Loos (21-12),austin-peay
17,2006,OVC,17,14,0.548,11,9,0.55,-5.68,-6.29,71.9,71.3,NA,NA,NA,NA,NA,Dave Loos (17-14),austin-peay
18,2005,OVC,13,19,0.406,9,7,0.563,-3.75,-1.97,65.3,67.1,NA,NA,NA,NA,NA,Dave Loos (13-19),austin-peay
19,2004,OVC,22,10,0.688,16,0,1,1.42,-1.38,65.6,60.5,NA,NA,NA,NA,NA,Dave Loos (22-10),austin-peay
20,2003,OVC,23,8,0.742,13,3,0.813,-0.84,-1.98,71.1,67.8,NA,NA,NA,Lost First Round,13,Dave Loos (23-8),austin-peay
21,2002,OVC,14,18,0.438,8,8,0.5,-4.01,-1.01,70.5,70.4,NA,NA,NA,NA,NA,Dave Loos (14-18),austin-peay
22,2001,OVC,22,10,0.688,10,6,0.625,-0.18,-3.28,78.4,74.9,NA,NA,NA,NA,NA,Dave Loos (22-10),austin-peay
23,2000,OVC,18,10,0.643,11,7,0.611,0.94,-3.29,75.4,69.6,NA,NA,NA,NA,NA,Dave Loos (18-10),austin-peay
24,1999,OVC,11,16,0.407,9,9,0.5,-7.84,-4.92,72.6,75.4,NA,NA,NA,NA,NA,Dave Loos (11-16),austin-peay
25,1998,OVC,17,11,0.607,11,7,0.611,-4.73,-7.23,71.9,67.5,NA,NA,NA,NA,NA,Dave Loos (17-11),austin-peay
26,1997,OVC,17,14,0.548,12,6,0.667,-5.01,-7.32,77.4,73.5,NA,NA,NA,NA,NA,Dave Loos (17-14),austin-peay
27,1996,OVC,19,11,0.633,10,6,0.625,-0.4,-4.19,79.2,74.1,NA,NA,NA,Lost First Round,14,Dave Loos (19-11),austin-peay
28,1995,OVC,13,16,0.448,8,8,0.5,-7.14,-4.51,75.6,76.2,NA,NA,NA,NA,NA,Dave Loos (13-16),austin-peay
29,1994,OVC,11,16,0.407,10,6,0.625,-8.76,-4.41,79.9,81.8,NA,NA,NA,NA,NA,Dave Loos (11-16),austin-peay
30,1993,OVC,7,20,0.259,4,12,0.25,-13.85,-1.43,69,80.5,NA,NA,NA,NA,NA,Dave Loos (7-20),austin-peay
31,1992,OVC,11,17,0.393,6,8,0.429,-7.99,-0.14,79.9,86.8,NA,NA,NA,NA,NA,Dave Loos (11-17),austin-peay
32,1991,OVC,15,14,0.517,6,6,0.5,-2.07,-0.48,84.7,85.1,NA,NA,NA,NA,NA,Dave Loos (15-14),austin-peay
1,2022,MAC,14,17,0.452,9,10,0.474,-7.99,-4.55,74.3,76.8,NA,NA,NA,NA,NA,James Whitford (14-17),ball-state
2,2021,MAC,10,13,0.435,8,9,0.471,-1.96,-1.22,74.7,75.5,NA,NA,NA,NA,NA,James Whitford (10-13),ball-state
3,2020,MAC,18,13,0.581,11,7,0.611,4.12,-1.65,69.5,62.5,NA,NA,NA,NA,NA,James Whitford (18-13),ball-state
4,2019,MAC,16,17,0.485,6,12,0.333,3.39,1.21,75.1,71.6,NA,NA,NA,NA,NA,James Whitford (16-17),ball-state
5,2018,MAC,19,13,0.594,10,8,0.556,-1.22,-2,75.3,73.8,NA,NA,NA,NA,NA,James Whitford (19-13),ball-state
6,2017,MAC,21,13,0.618,11,7,0.611,-1.45,-3.57,78.7,75.5,NA,NA,NA,NA,NA,James Whitford (21-13),ball-state
7,2016,MAC,21,14,0.6,10,8,0.556,0.11,-2.98,70.8,66.8,NA,NA,NA,NA,NA,James Whitford (21-14),ball-state
8,2015,MAC,7,23,0.233,2,16,0.111,-5.06,0.04,65.4,69,NA,NA,NA,NA,NA,James Whitford (7-23),ball-state
9,2014,MAC,5,25,0.167,2,16,0.111,-10.17,0.65,65.6,73.8,NA,NA,NA,NA,NA,James Whitford (5-25),ball-state
10,2013,MAC,15,15,0.5,8,8,0.5,-6.7,-3.14,65.2,68,NA,NA,NA,NA,NA,Billy Taylor (15-15),ball-state
11,2012,MAC,15,15,0.5,6,10,0.375,-2.93,-4.45,63.4,60.7,NA,NA,NA,NA,NA,Billy Taylor (15-15),ball-state
12,2011,MAC,19,13,0.594,10,6,0.625,-0.7,-3.4,67.6,64,NA,NA,NA,NA,NA,Billy Taylor (19-13),ball-state
13,2010,MAC,15,15,0.5,8,8,0.5,-4.85,-1.48,60.6,62.4,NA,NA,NA,NA,NA,Billy Taylor (15-15),ball-state
14,2009,MAC,14,17,0.452,7,9,0.438,-5.5,-3.02,57.9,59.7,NA,NA,NA,NA,NA,Billy Taylor (14-17),ball-state
15,2008,MAC,6,24,0.2,5,11,0.313,-5.61,0.5,57.8,63.9,NA,NA,NA,NA,NA,Billy Taylor (6-24),ball-state
16,2007,MAC,9,22,0.29,5,11,0.313,-4.47,1.03,59.6,63.7,NA,NA,NA,NA,NA,Ronny Thompson (9-22),ball-state
17,2006,MAC,10,18,0.357,6,12,0.333,-3.53,-0.6,63.5,65,NA,NA,NA,NA,NA,Tim Buckley (10-18),ball-state
18,2005,MAC,15,13,0.536,10,8,0.556,4.27,3.31,71.1,68.3,NA,NA,NA,NA,NA,Tim Buckley (15-13),ball-state
19,2004,MAC,14,15,0.483,10,8,0.556,1.03,1.78,70.6,70.1,NA,NA,NA,NA,NA,Tim Buckley (14-15),ball-state
20,2003,MAC,13,17,0.433,8,10,0.444,-0.57,2.17,73.3,76,NA,NA,NA,NA,NA,Tim Buckley (13-17),ball-state
21,2002,MAC,23,12,0.657,12,6,0.667,8.88,3.3,78,71.9,NA,15,NA,NA,NA,Tim Buckley (23-12),ball-state
22,2001,MAC,18,12,0.6,11,7,0.611,3.12,0.3,69.7,66.4,NA,NA,NA,NA,NA,Tim Buckley (18-12),ball-state
23,2000,MAC,22,9,0.71,11,7,0.611,7.84,3.17,74.2,69,NA,NA,NA,Lost First Round,11,Ray McCallum (22-9),ball-state
24,1999,MAC,16,11,0.593,10,8,0.556,1.32,1.84,66.6,65.2,NA,NA,NA,NA,NA,Ray McCallum (16-11),ball-state
25,1998,MAC,21,8,0.724,14,4,0.778,7.46,0.68,78.4,69.1,NA,NA,NA,NA,NA,Ray McCallum (21-8),ball-state
26,1997,MAC,16,13,0.552,9,9,0.5,1.8,1.48,74.4,73.9,NA,NA,NA,NA,NA,Ray McCallum (16-13),ball-state
27,1996,MAC,16,12,0.571,11,7,0.611,2.98,1.83,73.8,72.6,NA,NA,NA,NA,NA,Ray McCallum (16-12),ball-state
28,1995,MAC,19,11,0.633,11,7,0.611,5.36,2.61,77.8,72.8,NA,NA,NA,Lost First Round,12,Ray McCallum (19-11),ball-state
29,1994,MAC,16,12,0.571,11,7,0.611,1.29,-0.52,74.3,72.2,NA,NA,NA,NA,NA,Ray McCallum (16-12),ball-state
30,1993,MAC,26,8,0.765,14,4,0.778,1.32,-4.68,71.2,64.3,NA,NA,NA,Lost First Round,15,Dick Hunsaker (26-8),ball-state
31,1992,MAC,24,9,0.727,11,5,0.688,5.65,-1.21,68.9,59.4,NA,NA,NA,NA,NA,Dick Hunsaker (24-9),ball-state
32,1991,MAC,21,10,0.677,10,6,0.625,3.04,-0.77,73.4,66.6,NA,NA,NA,NA,NA,Dick Hunsaker (21-10),ball-state
1,2022,Big 12,27,7,0.794,14,4,0.778,21.75,8.78,77,64.1,8,1,4,Lost Second Round,1,Scott Drew (27-7),baylor
2,2021,Big 12,28,2,0.933,13,1,0.929,24.83,7.4,82.9,65.5,2,2,3,Won National Final,1,Scott Drew (28-2),baylor
3,2020,Big 12,26,4,0.867,15,3,0.833,20.13,9.13,71.1,60.1,16,1,5,NA,NA,Scott Drew (26-4),baylor
4,2019,Big 12,20,14,0.588,10,8,0.556,13.38,9.26,71.8,67.7,NA,NA,NA,Lost Second Round,9,Scott Drew (20-14),baylor
5,2018,Big 12,19,15,0.559,8,10,0.444,14.6,9.17,75.6,69.7,24,16,NA,NA,NA,Scott Drew (19-15),baylor
6,2017,Big 12,27,8,0.771,12,6,0.667,19.75,11.87,72.9,63.7,NA,1,12,Lost Regional Semifinal,3,Scott Drew (27-8),baylor
7,2016,Big 12,22,12,0.647,10,8,0.556,16.13,9.76,77.1,69.6,22,14,21,Lost First Round,5,Scott Drew (22-12),baylor
8,2015,Big 12,24,10,0.706,11,7,0.611,17.85,9.33,69.1,60.2,NA,14,16,Lost Second Round,3,Scott Drew (24-10),baylor
9,2014,Big 12,26,12,0.684,9,9,0.5,15.8,10.11,74.8,67.8,25,7,23,Lost Regional Semifinal,6,Scott Drew (26-12),baylor
10,2013,Big 12,23,14,0.622,9,9,0.5,15.07,7.12,76,66.4,19,16,NA,NA,NA,Scott Drew (23-14),baylor
11,2012,Big 12,30,8,0.789,12,6,0.667,16.54,8.03,74.7,65.3,12,3,9,Lost Regional Final,3,Scott Drew (30-8),baylor
12,2011,Big 12,18,13,0.581,7,9,0.438,10,4.8,69.5,64,16,9,NA,NA,NA,Scott Drew (18-13),baylor
13,2010,Big 12,28,8,0.778,11,5,0.688,17.97,8.03,77,65.6,NA,19,19,Lost Regional Final,3,Scott Drew (28-8),baylor
14,2009,Big 12,24,15,0.615,5,11,0.313,12.54,7.93,76,70.1,NA,19,NA,NA,NA,Scott Drew (24-15),baylor
15,2008,Big 12,21,11,0.656,9,7,0.563,11.46,5.75,81.3,74.9,NA,25,NA,Lost First Round,11,Scott Drew (21-11),baylor
16,2007,Big 12,15,16,0.484,4,12,0.25,5.42,3.88,75.3,73,NA,NA,NA,NA,NA,Scott Drew (15-16),baylor
17,2006,Big 12,4,13,0.235,4,12,0.25,2.3,11.65,63.2,72.5,NA,NA,NA,NA,NA,Scott Drew (4-13),baylor
18,2005,Big 12,9,19,0.321,1,15,0.063,-2.79,4.1,66.5,71.7,NA,NA,NA,NA,NA,Scott Drew (9-19),baylor
19,2004,Big 12,8,21,0.276,3,13,0.188,-2.73,5.2,63.7,70.4,NA,NA,NA,NA,NA,Scott Drew (8-21),baylor
20,2003,Big 12,14,14,0.5,5,11,0.313,6.05,5.44,69,68.4,NA,NA,NA,NA,NA,Dave Bliss (14-14),baylor
21,2002,Big 12,14,16,0.467,4,12,0.25,6.23,5.08,76.5,72.2,NA,NA,NA,NA,NA,Dave Bliss (14-16),baylor
22,2001,Big 12,19,12,0.613,6,10,0.375,7.39,2.56,71.3,64.5,NA,NA,NA,NA,NA,Dave Bliss (19-12),baylor
23,2000,Big 12,14,15,0.483,4,12,0.25,2.2,4.59,66.7,67.8,NA,NA,NA,NA,NA,Dave Bliss (14-15),baylor
24,1999,Big 12,6,24,0.2,0,16,0,-5.53,3.58,61.5,70,NA,NA,NA,NA,NA,Harry Miller (6-24),baylor
25,1998,Big 12,14,14,0.5,8,8,0.5,3.19,4.9,70.4,72.1,NA,NA,NA,NA,NA,Harry Miller (14-14),baylor
26,1997,Big 12,18,12,0.6,6,10,0.375,4.4,2.99,71.6,69.2,NA,NA,NA,NA,NA,Harry Miller (18-12),baylor
27,1996,SWC,9,18,0.333,4,10,0.286,-2.7,1.14,74.4,76.5,NA,NA,NA,NA,NA,Harry Miller (9-18),baylor
28,1995,SWC,9,19,0.321,3,11,0.214,-6.13,-0.43,81.2,86,NA,NA,NA,NA,NA,Harry Miller (9-19),baylor
29,1994,SWC,16,11,0.593,7,7,0.5,0.76,-1.02,85.5,83.7,NA,NA,NA,NA,NA,Darrel Johnson (16-11),baylor
30,1993,SWC,16,11,0.593,7,7,0.5,2.99,1.83,87.1,83.9,NA,NA,NA,NA,NA,Darrel Johnson (16-11),baylor
31,1992,SWC,13,15,0.464,5,9,0.357,2.01,1.19,72.8,72.1,NA,NA,NA,NA,NA,Gene Iba (13-15),baylor
32,1991,SWC,12,15,0.444,4,12,0.25,5.38,2.64,79.6,76.9,NA,NA,NA,NA,NA,Gene Iba (12-15),baylor
1,2022,A-Sun,20,13,0.606,11,5,0.688,-3.76,-1.28,70.1,67.2,NA,NA,NA,NA,NA,Scott Davenport (20-13),bellarmine
2,2021,A-Sun,14,8,0.636,10,3,0.769,-1.76,-5.56,74.3,66.2,NA,NA,NA,NA,NA,Scott Davenport (14-8),bellarmine
1,2022,OVC,25,8,0.758,15,3,0.833,6.5,-2.57,78.3,68.6,NA,NA,NA,NA,NA,Casey Alexander (25-8),belmont
2,2021,OVC,26,4,0.867,18,2,0.9,3.46,-8.71,81.3,69.1,NA,NA,NA,NA,NA,Casey Alexander (26-4),belmont
3,2020,OVC,26,7,0.788,15,3,0.833,4.3,-6.23,79.6,67.9,NA,NA,NA,NA,NA,Casey Alexander (26-7),belmont
4,2019,OVC,27,6,0.818,16,2,0.889,9.12,-2.6,86.9,73.9,NA,NA,NA,Lost First Round,11,Rick Byrd (27-6),belmont
5,2018,OVC,24,9,0.727,15,3,0.833,5.54,-2.88,77.6,69.2,NA,NA,NA,NA,NA,Rick Byrd (24-9),belmont
6,2017,OVC,23,7,0.767,15,1,0.938,4.28,-1.69,76.7,69.3,NA,NA,NA,NA,NA,Rick Byrd (23-7),belmont
7,2016,OVC,20,12,0.625,12,4,0.75,1.19,-2.1,82.4,78.4,NA,NA,NA,NA,NA,Rick Byrd (20-12),belmont
8,2015,OVC,22,11,0.667,11,5,0.688,0.35,-2.77,74.2,70.6,NA,NA,NA,Lost Second Round,15,Rick Byrd (22-11),belmont
9,2014,OVC,26,10,0.722,14,2,0.875,3.29,-1.88,79.9,73.9,NA,NA,NA,NA,NA,Rick Byrd (26-10),belmont
10,2013,OVC,26,7,0.788,14,2,0.875,10.41,-0.92,76.8,64.5,NA,NA,NA,Lost Second Round,11,Rick Byrd (26-7),belmont
11,2012,A-Sun,27,8,0.771,16,2,0.889,11.81,-1.22,80.9,67.5,NA,NA,NA,Lost Second Round,14,Rick Byrd (27-8),belmont
12,2011,A-Sun,30,5,0.857,19,1,0.95,13.07,-4.42,79.7,62.2,NA,NA,NA,Lost Second Round,13,Rick Byrd (30-5),belmont
13,2010,A-Sun,19,12,0.613,14,6,0.7,1.3,-3.41,73.1,68.5,NA,NA,NA,NA,NA,Rick Byrd (19-12),belmont
14,2009,A-Sun,20,13,0.606,14,6,0.7,0.39,-1.37,76.6,70.7,NA,NA,NA,NA,NA,Rick Byrd (20-13),belmont
15,2008,A-Sun,25,9,0.735,14,2,0.875,-0.12,-3.44,79.8,73.4,NA,NA,NA,Lost First Round,15,Rick Byrd (25-9),belmont
16,2007,A-Sun,23,10,0.697,14,4,0.778,-0.39,-4.71,72.4,64.5,NA,NA,NA,Lost First Round,15,Rick Byrd (23-10),belmont
17,2006,A-Sun,20,11,0.645,15,5,0.75,-3.53,-6.72,80.6,76,NA,NA,NA,Lost First Round,15,Rick Byrd (20-11),belmont
18,2005,A-Sun,14,16,0.467,12,8,0.6,-7.08,-7.32,70.3,70,NA,NA,NA,NA,NA,Rick Byrd (14-16),belmont
19,2004,A-Sun,21,9,0.7,15,5,0.75,1.7,-4.68,72.4,64.9,NA,NA,NA,NA,NA,Rick Byrd (21-9),belmont
20,2003,A-Sun,17,12,0.586,12,4,0.75,-2.3,-4.05,72.7,70,NA,NA,NA,NA,NA,Rick Byrd (17-12),belmont
21,2002,A-Sun,11,17,0.393,8,12,0.4,-7.1,-3.39,72.1,75.9,NA,NA,NA,NA,NA,Rick Byrd (11-17),belmont
22,2001,Ind,13,15,0.464,NA,NA,NA,-9.73,-5.42,76.2,78.6,NA,NA,NA,NA,NA,Rick Byrd (13-15),belmont
23,2000,Ind,7,21,0.25,NA,NA,NA,-10.98,-1.39,68.7,75.3,NA,NA,NA,NA,NA,Rick Byrd (7-21),belmont
1,2022,SWAC,9,21,0.3,7,11,0.389,-14.69,-6.69,63.4,69.5,NA,NA,NA,NA,NA,Reggie Theus (9-21),bethune-cookman
2,2020,MEAC,16,14,0.533,10,6,0.625,-10.16,-8.98,74.6,72.2,NA,NA,NA,NA,NA,Ryan Ridder (16-14),bethune-cookman
3,2019,MEAC,14,17,0.452,9,7,0.563,-11.98,-9.74,73.9,72.4,NA,NA,NA,NA,NA,Ryan Ridder (14-17),bethune-cookman
4,2018,MEAC,18,14,0.563,12,4,0.75,-12.19,-12.46,81.9,79.5,NA,NA,NA,NA,NA,Ryan Ridder (18-14),bethune-cookman
5,2017,MEAC,10,22,0.313,6,10,0.375,-19.44,-11.21,71.1,77.8,NA,NA,NA,NA,NA,Gravelle Craig (10-22),bethune-cookman
6,2016,MEAC,14,18,0.438,10,6,0.625,-14.35,-9.18,70.6,72.8,NA,NA,NA,NA,NA,Gravelle Craig (14-18),bethune-cookman
7,2015,MEAC,11,21,0.344,7,9,0.438,-15.52,-10.45,59.3,62.6,NA,NA,NA,NA,NA,Gravelle Craig (11-21),bethune-cookman
8,2014,MEAC,7,25,0.219,5,11,0.313,-16.86,-7.53,63.5,70.4,NA,NA,NA,NA,NA,Gravelle Craig (7-25),bethune-cookman
9,2013,MEAC,14,20,0.412,7,9,0.438,-9.51,-6.41,67.1,68.2,NA,NA,NA,NA,NA,Gravelle Craig (14-20),bethune-cookman
10,2012,MEAC,18,17,0.514,11,5,0.688,-9.11,-7.05,65,66.3,NA,NA,NA,NA,NA,Gravelle Craig (18-17),bethune-cookman
11,2011,MEAC,21,13,0.618,13,3,0.813,-11.11,-8.04,65.9,65.9,NA,NA,NA,NA,NA,Clifford Reed (21-13),bethune-cookman
12,2010,MEAC,17,16,0.515,7,9,0.438,-13.14,-8.4,61.2,60.5,NA,NA,NA,NA,NA,Clifford Reed (17-16),bethune-cookman
13,2009,MEAC,17,16,0.515,9,7,0.563,-12.41,-9.76,58.4,58.8,NA,NA,NA,NA,NA,Clifford Reed (17-16),bethune-cookman
14,2008,MEAC,11,21,0.344,5,11,0.313,-15.97,-10.89,58.2,61.8,NA,NA,NA,NA,NA,Clifford Reed (11-21),bethune-cookman
15,2007,MEAC,9,21,0.3,6,12,0.333,-20.71,-9.53,54.4,64.2,NA,NA,NA,NA,NA,Clifford Reed (9-21),bethune-cookman
16,2006,MEAC,15,15,0.5,11,7,0.611,-13.66,-10.49,65.4,68.6,NA,NA,NA,NA,NA,Clifford Reed (15-15),bethune-cookman
17,2005,MEAC,13,17,0.433,8,10,0.444,-15.87,-11.67,64.4,68.6,NA,NA,NA,NA,NA,Clifford Reed (13-17),bethune-cookman
18,2004,MEAC,8,21,0.276,7,11,0.389,-18.49,-10.63,59,66.9,NA,NA,NA,NA,NA,Clifford Reed (8-21),bethune-cookman
19,2003,MEAC,8,22,0.267,5,13,0.278,-19.13,-10.93,64.7,72.9,NA,NA,NA,NA,NA,Clifford Reed (8-22),bethune-cookman
20,2002,MEAC,12,17,0.414,8,10,0.444,-14.33,-8.26,68.4,73.8,NA,NA,NA,NA,NA,"Clifford Reed (6-5), Horace Broadnax (6-12)",bethune-cookman
